Time,Altitude,Velocity,Temperature (F),Voltage
0.00,9,0,94.37,9.40
0.05,9,7,94.37,9.40
0.10,10,37,94.37,9.40
0.15,12,20,94.37,9.40
0.20,16,31,94.37,9.40
0.25,14,37,94.37,9.40
0.30,16,43,94.37,9.40
0.35,20,52,94.37,9.40
0.40,21,62,94.37,9.40
0.45,27,72,94.37,9.40
0.50,31,81,94.35,9.40
0.55,35,89,94.37,9.40
0.60,40,97,94.37,9.40
0.65,44,107,94.37,9.40
0.70,50,120,94.37,9.40
0.75,57,134,94.37,9.40
0.80,64,149,94.37,9.40
0.85,73,162,94.37,9.40
0.90,82,173,94.37,9.40
0.95,92,179,94.37,9.40
1.00,101,181,94.37,9.40
1.05,111,180,94.37,9.40
1.10,119,177,94.37,9.40
1.15,128,173,94.37,9.40
1.20,136,170,94.37,9.40
1.25,145,169,94.37,9.40
1.30,152,172,94.37,9.40
1.35,160,177,94.37,9.40
1.40,170,186,94.37,9.40
1.45,179,197,94.37,9.40
1.50,190,207,94.37,9.40
1.55,202,216,94.37,9.40
1.60,213,224,94.37,9.40
1.65,224,231,94.37,9.40
1.70,235,239,94.37,9.40
1.75,249,248,94.37,9.40
1.80,260,258,94.37,9.40
1.85,274,269,94.37,9.40
1.90,288,279,94.37,9.40
1.95,304,289,94.37,9.40
2.00,318,298,94.37,9.40
2.05,333,306,94.37,9.40
2.10,349,316,94.37,9.40
2.15,365,327,94.37,9.40
2.20,381,340,94.37,9.40
2.25,399,352,94.37,9.40
2.30,417,361,94.37,9.40
2.35,438,364,94.37,9.40
2.40,458,361,94.37,9.40
2.45,476,356,94.37,9.40
2.50,490,352,94.37,9.40
2.55,505,353,94.37,9.40
2.60,524,361,94.37,9.40
2.65,544,376,94.37,9.40
2.70,562,396,94.37,9.40
2.75,584,423,94.37,9.40
2.80,604,457,94.35,9.40
2.85,627,494,94.37,9.40
2.90,652,522,94.37,9.40
2.95,685,530,94.37,9.40
3.00,722,508,94.37,9.40
3.05,755,461,94.37,9.40
3.10,765,407,94.35,9.40
3.15,769,364,94.37,9.40
3.20,784,346,94.37,9.40
3.25,802,358,94.37,9.40
3.30,821,387,94.37,9.40
3.35,848,421,94.35,9.40
3.40,871,452,94.37,9.40
3.45,894,474,94.35,9.40
3.50,917,490,94.37,9.40
3.55,941,506,94.35,9.40
3.60,970,519,94.37,9.40
3.65,997,529,94.35,9.40
3.70,1024,533,94.35,9.40
3.75,1052,530,94.35,9.40
3.80,1079,524,94.35,9.40
3.85,1102,515,94.35,9.40
3.90,1129,506,94.35,9.40
3.95,1153,498,94.35,9.40
4.00,1177,491,94.35,9.40
4.05,1202,486,94.37,9.40
4.10,1227,481,94.37,9.40
4.15,1250,480,94.35,9.40
4.20,1270,481,94.35,9.40
4.25,1297,482,94.37,9.40
4.30,1323,481,94.35,9.40
4.35,1346,477,94.35,9.40
4.40,1371,467,94.35,9.40
4.45,1395,457,94.35,9.40
4.50,1414,450,94.35,9.40
4.55,1434,446,94.35,9.40
4.60,1457,446,94.35,9.40
4.65,1481,447,94.37,9.40
4.70,1505,445,94.35,9.40
4.75,1527,439,94.35,9.40
4.80,1549,431,94.35,9.40
4.85,1569,423,94.35,9.40
4.90,1587,421,94.35,9.40
4.95,1608,424,94.35,9.40
5.00,1629,430,94.37,9.40
5.05,1655,436,94.37,9.40
5.10,1676,439,94.35,9.40
5.15,1697,439,94.35,9.40
5.20,1720,434,94.37,9.40
5.25,1741,428,94.37,9.40
5.30,1762,421,94.35,9.40
5.35,1785,413,94.35,9.40
5.40,1801,408,94.35,9.40
5.45,1822,402,94.37,9.40
5.50,1845,397,94.35,9.40
5.55,1863,396,94.35,9.40
5.60,1880,396,94.35,9.40
5.65,1900,399,94.37,9.40
5.70,1922,403,94.35,9.40
5.75,1943,407,94.37,9.40
5.80,1963,409,94.35,9.40
5.85,1983,409,94.37,9.40
5.90,2004,404,94.35,9.40
5.95,2025,396,94.35,9.40
6.00,2046,385,94.35,9.40
6.05,2062,374,94.35,9.40
6.10,2080,363,94.35,9.40
6.15,2098,355,94.35,9.40
6.20,2115,351,94.35,9.40
6.25,2131,351,94.35,9.40
6.30,2150,354,94.35,9.40
6.35,2167,359,94.35,9.40
6.40,2185,365,94.35,9.40
6.45,2204,369,94.35,9.40
6.50,2225,374,94.35,9.40
6.55,2242,378,94.35,9.40
6.60,2259,380,94.35,9.40
6.65,2280,380,94.35,9.40
6.70,2300,376,94.35,9.40
6.75,2322,368,94.35,9.40
6.80,2336,359,94.35,9.40
6.85,2354,350,94.35,9.40
6.90,2369,345,94.35,9.40
6.95,2386,343,94.37,9.40
7.00,2404,342,94.35,9.40
7.05,2423,341,94.35,9.40
7.10,2440,339,94.35,9.40
7.15,2455,335,94.35,9.40
7.20,2471,332,94.35,9.40
7.25,2488,330,94.35,9.40
7.30,2505,330,94.35,9.40
7.35,2522,329,94.35,9.40
7.40,2538,329,94.35,9.40
7.45,2552,329,94.35,9.40
7.50,2571,328,94.35,9.40
7.55,2588,325,94.35,9.40
7.60,2604,322,94.35,9.40
7.65,2619,317,94.35,9.40
7.70,2634,313,94.35,9.40
7.75,2651,310,94.35,9.40
7.80,2664,308,94.35,9.40
7.85,2681,308,94.35,9.40
7.90,2695,308,94.35,9.40
7.95,2712,309,94.35,9.40
8.00,2727,309,94.35,9.40
8.05,2743,308,94.35,9.40
8.10,2757,307,94.35,9.40
8.15,2772,305,94.35,9.40
8.20,2790,302,94.35,9.40
8.25,2804,297,94.35,9.40
8.30,2818,292,94.37,9.40
8.35,2832,287,94.35,9.40
8.40,2846,283,94.35,9.40
8.45,2860,281,94.35,9.40
8.50,2874,281,94.35,9.40
8.55,2887,281,94.35,9.40
8.60,2903,281,94.35,9.40
8.65,2917,280,94.35,9.40
8.70,2930,279,94.35,9.40
8.75,2944,277,94.35,9.40
8.80,2958,274,94.35,9.40
8.85,2972,272,94.35,9.40
8.90,2985,271,94.35,9.40
8.95,2998,270,94.35,9.40
9.00,3011,269,94.35,9.40
9.05,3026,268,94.35,9.40
9.10,3039,266,94.35,9.40
9.15,3052,262,94.35,9.40
9.20,3065,258,94.35,9.40
9.25,3078,254,94.35,9.40
9.30,3089,252,94.35,9.40
9.35,3103,250,94.35,9.40
9.40,3114,250,94.35,9.40
9.45,3127,249,94.35,9.40
9.50,3140,246,94.35,9.40
9.55,3153,242,94.35,9.40
9.60,3165,237,94.35,9.40
9.65,3175,233,94.35,9.40
9.70,3185,231,94.35,9.40
9.75,3198,231,94.35,9.40
9.80,3210,234,94.35,9.40
9.85,3221,237,94.35,9.40
9.90,3233,239,94.35,9.40
9.95,3245,240,94.35,9.40
10.00,3259,238,94.35,9.40
10.05,3271,235,94.35,9.40
10.10,3280,231,94.35,9.40
10.15,3293,227,94.35,9.40
10.20,3304,224,94.35,9.40
10.25,3313,221,94.35,9.40
10.30,3327,219,94.35,9.40
10.35,3337,219,94.35,9.40
10.40,3346,219,94.35,9.40
10.45,3358,218,94.35,9.40
10.50,3369,217,94.35,9.40
10.55,3381,215,94.33,9.40
10.60,3392,211,94.35,9.40
10.65,3401,207,94.35,9.40
10.70,3410,202,94.35,9.40
10.75,3421,199,94.35,9.40
10.80,3431,196,94.35,9.40
10.85,3441,195,94.35,9.40
10.90,3450,194,94.35,9.40
10.95,3459,193,94.35,9.40
11.00,3469,192,94.35,9.40
11.05,3479,191,94.35,9.40
11.10,3490,190,94.35,9.40
11.15,3496,189,94.35,9.40
